5/1/2021 10:21:36 PM /Shop/customers/2
 5/1/2021 10:24:30 PM /Shop/customers/2
 5/7/2021 6:23:48 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 6:23:53 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 6:24:01 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:24:02 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:24:02 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:24:02 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:24:02 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:24:02 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:24:02 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:24:02 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:24:03 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:26:11 PM ShopAPI.Controllers.CustomersController.DeleteCustomer (ShopAPI)
 5/7/2021 6:26:19 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:55:35 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:55:58 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 6:56:11 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 6:56:18 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 6:57:44 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/7/2021 6:57:52 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/7/2021 6:58:59 PM ShopAPI.Controllers.OrdersController.AddOrder (ShopAPI)
 5/7/2021 7:00:42 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/7/2021 7:08:07 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:08:22 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/7/2021 7:08:22 PM ShopAPI.Controllers.OrdersController.GetAllOrders (ShopAPI)
 5/7/2021 7:08:38 PM ShopAPI.Controllers.OrdersController.GetOrder (ShopAPI)
 5/7/2021 7:08:52 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:08:57 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 7:09:01 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:09:07 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:09:47 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 7:10:03 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:29:33 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:30:08 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 7:30:15 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:30:29 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 7:30:55 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:30:57 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:30:59 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:33:54 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:35:02 PM ShopAPI.Controllers.CustomersController.UpdateCustomer (ShopAPI)
 5/7/2021 7:44:15 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:44:35 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 7:44:48 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:46:00 PM ShopAPI.Controllers.CustomersController.UpdateCustomer (ShopAPI)
 5/7/2021 7:46:26 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 7:46:40 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 7:47:09 PM ShopAPI.Controllers.CustomersController.UpdateCustomer (ShopAPI)
 5/7/2021 8:33:13 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 8:33:49 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 8:34:23 PM ShopAPI.Controllers.CustomersController.UpdateCustomer (ShopAPI)
 5/7/2021 8:34:45 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 8:40:51 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 9:40:01 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 9:42:20 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 9:45:04 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 9:48:35 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 9:48:41 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 9:48:47 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 9:49:13 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 9:49:38 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 9:50:18 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 9:51:32 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 9:56:53 PM ShopAPI.Controllers.CustomersController.AddCustomer (ShopAPI)
 5/7/2021 9:59:22 PM ShopAPI.Controllers.CustomersController.DeleteCustomer (ShopAPI)
 5/7/2021 9:59:33 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 10:00:25 PM ShopAPI.Controllers.CustomersController.UpdateCustomer (ShopAPI)
 5/7/2021 10:01:24 PM ShopAPI.Controllers.CustomersController.UpdateCustomer (ShopAPI)
 5/7/2021 10:02:03 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:03:20 PM ShopAPI.Controllers.CustomersController.GetAllcustomers (ShopAPI)
 5/7/2021 10:03:30 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:03:33 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:03:41 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:03:43 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:03:44 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:03:45 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
 5/7/2021 10:03:45 PM ShopAPI.Controllers.CustomersController.GetCustomer (ShopAPI)
